t_dat,customer_id,article_id,price,sales_channel_id
2020-02-23,41b564fd126f6271ed16a542a59e11d9274154306cae1d19509f896485e87417,850426007,14.5593220338983,2
2020-01-02,29cafccecc8d4021d21cde61e959e4e150698b451f63fa61a940b047c7fab718,547780003,25.4067796610169,1
2020-01-20,4b1519363faf558ba89f3f3abbb3cadb71f4bc38d0b91be7e0bcd8d624d975ec,818882001,15.2372881355932,1
2020-03-12,9d20e5cac678dce9916f65e7cbef1af51687e7965040d61583f7d31d0375cd35,827957002,25.4067796610169,2
2020-03-06,9514ac8da3cb4c4b622d622014c0dadaf6da2caebd3e4b84c11788be111a983d,554640012,35.5762711864407,2
2020-01-11,f189e6a0a31a4092324988a45c419ca3d43a4eb614313be22e86d2883be7d1c3,826492003,33.8813559322034,1
2020-03-28,f44cccb0a1549eb3cd543f07b8923de3eb370e9884b49e2d7690a4834c150f38,759871002,6.76271186440678,2
2020-03-03,a35299bef606c9379d590eb4ffc5377292b34f851738bbd7bd5dfa68071af77e,739334002,61,2
2020-01-17,fccea42e695aa8da5774267b23fa9983acbbb62c7b601478c58be1b99700b315,817280007,33.8813559322034,2
2020-03-27,1b5dba0f25d542b6c9de12cb43d336f89c429e6f4b7d75307a949ae18c0c0795,744100005,20.3220338983051,2
2020-01-04,a7b96c0dabcbafee6ea06f9692600e536da5b9e1206c0ffdb4f70a2c56c71fee,636323034,16.9322033898305,2
2020-02-23,233f84681e2e6416faa7fc471360909e20c8da6b0fc003ca3bc5a75a5ccbd108,715343003,39.6440677966102,2
2020-02-09,101ae5788b22f159686282b3937431c12b10250ea17062a917f70d083309868d,759054001,75.3220338983051,2
2020-01-16,8e94200559ece552d81b50ff630f96f4794ec0f59c2cf7e7e7fdc133305bb99a,637255001,11.0338983050847,2
2020-03-03,d19cb828f2a85d335433379863805524a9d4e197bb6338662b9a9b1516f9a1f8,799410003,22.0169491525424,2
2020-03-19,5c064c19b00e851fdc7e1b7f19d90cbe18ab5224fb0fe027c93ecfa7082ff669,542533001,33.8813559322034,2
2020-02-24,c67018670f14b164b80b7cdbac5c289877491e7f9c73ba075fbf0237ad351004,770315006,15.2372881355932,2
2020-01-25,8e236fca20a5f8e4a79d961f03f49787213946fece0afe767bd07201eb383545,810460001,42.3559322033898,2
2020-02-22,9986194c3ba34500bae31d9de908af34ded199a2cd3ac738e8c5a1f13cc11bae,742769001,16.9322033898305,2
2020-02-15,2660818fa820a238f465cf8bcdb08652f80717106ba3017845540faf07156753,237347044,30.4915254237288,1
2020-01-01,e04bf867b450779eb8f499973cbef1741e7d2c8f3e6afecbfc56a4387c454995,831286001,16.9322033898305,2
2020-02-01,76b577e2cca3738ff502c2149861ce7cd6c1b1606cbcf5ca5fb442e4f18c81c9,590928023,30.4915254237288,2
2020-01-31,0a6a55bfb04ebff49f4ff2a1733ab270434fa7e9d464c5c68947c7fc47ae41f9,631536021,16.9322033898305,1
2020-02-25,73bc1d331d9524ce01fa4645e84c4ab2727b5846a16bd203b9a8c43c0c58edfd,823118001,25.4067796610169,2
2020-03-16,195c333b156348f41aa695499a1b67e18b35402375432b0f9ba7017647d1c0cd,833490001,16.4067796610169,2
2020-03-09,de467cf535d3747e18626acee05be44488e3d130d66b63786e1a13f941fcdc2e,599719002,9.13559322033898,1
2020-01-08,9f0a86dc98a4ef33fff4904fb8ec7b387bf56925a64a3776ae3fe280e5c1149b,564448005,13.0508474576271,2
2020-02-23,f663b656c687a8fb92dd96306421f4e22809eb0ee85ad28961b8406b12a1bf98,842607001,25.4067796610169,2
2020-01-22,e30dd2884a95f3e5a29e15fec1ae0ccb45b91416fd046f6c183215c5fd5ee86c,758266001,16.9322033898305,2
2020-02-20,66ebf38b0140c07985ca800bc82f4781cbdcd6deb946e8ece31053de11fa9f2a,697054014,23.4406779661017,1
2020-02-11,db8edccef18d0cc06a46824d30b5b1f063a9a6c8b913f36b8455799247a3380a,742667002,8.45762711864407,2
2020-01-06,103fe8ca44fea5fff0bb54dd1ea0c3f20b07fda2865ac78eb5a07efcc95f2a4e,825984001,45.7457627118644,2
2020-03-18,f995e46355b2302146892b57158caba8db5f58340f220483a71fa23ffa82613d,179950001,25.4067796610169,2
2020-02-27,5915c10c1635aa04831aa7479d8368e920a54c2dd72961b97be348c9b78ff6f2,825771004,25.4067796610169,1
2020-01-16,72e71cd10a17c23f5247fcff94c35f29f644936113902a42ea1428e793b0c8fd,810227002,25.4067796610169,2
2020-01-29,477235d7b35432f9977730379acd7fc80692a87a096230af613b189858c1039b,762318001,25.4067796610169,1
2020-03-15,8c3dfd7974a7e935601d3e73e2f8065cb2411fd9fd6b405260eb5abd3d2c61ec,817004002,6.76271186440678,2
2020-02-07,fac8f6daf01afa41c9a5763bee59d174800641bc47f0c9d42cded20d2f425d6e,803647002,10.1525423728814,1
2020-02-23,3d908ed8ffafdbebab47a09df6d0a4da6f06e0274d61444f0dcd3b0828f3ec15,818320001,42.3559322033898,2
2020-01-24,5a0e66f0335772cc9cb8246cd2a0ec2f6009ebadc9e1fe11d9e689e137f24bff,829017002,50.8305084745763,2
2020-03-16,91abb92b969fbaccdb34a00ce42330d018f7c7d0a502cd7e12ffdb3716f498df,796908001,15.2372881355932,2
2020-02-27,d2b7e9015eaed18b92561f5481c7aeaf26052de77167f8131fdfc4a82c6a1791,810169001,50.8305084745763,2
2020-01-02,1385795d496f0e138ba3c6da3f69ead187705e158a3971fe397fe2bf68f73c32,713183001,16.9322033898305,2
2020-02-17,b0251fefea36bb436730701aa337caeeba3a93c4b9773cb5bbd942ac2f8fbf1c,683662005,6.76271186440678,2
2020-02-09,f13674a784263a61cbe0887b8eaf2b0a5aaf8a643c81d7a0d4d7c5878d7f1887,807244012,3.3728813559322,1
2020-03-14,d8bdebc71c96eca046796f24f3499bf98854f53c2c5918a32dca155a1168bf8a,793218005,50.8305084745763,2
2020-02-24,2d4a070da911e34785f1fd8da0c48d8b3f2d15b96b164a724df1c41947d36c6a,828533003,33.8813559322034,2
2020-02-11,4074225895f99ae219feb8270ff801604a7cdf2ac0bf04ea14ece37895d13021,762015002,5.06779661016949,1
2020-03-02,206e245883321a8dc9118a21e381c9b106c06555a244455e22b22cf3e079a947,854004001,67.7796610169492,2
2020-01-05,924bb4f8f3f6f657e9414566293e1040f6031103a9d382889c35ac3c6c94f96d,720504008,33.8813559322034,1
2020-01-29,07e8fdfe914eb0404131fe02ea0c7ccf35982725e4673c60830acf7231af7fae,787148001,189.406779661017,2
2020-01-17,79447e31ec425600273e49dade61b8f1d028bfdd52b4ea6ea5e005086632d0e5,799417004,30.4915254237288,2
2020-02-15,e5fe1af57346219ba1e10b4f6b9fbc712ed0230de8318ede4cc6ddcb31c4fe16,803985001,25.4067796610169,2
2020-02-17,c26bc8dad15617a301ad00382007983ddb9732a15e6ab31bc0d49103e70edf2a,812241004,25.4067796610169,2
2020-01-18,3defacf3a6af22ef2af17e1870089e0186012c98a9eca29781a30d79945d7fd3,795440007,25.4067796610169,2
2020-02-05,85a6263721daa80c825db019bb40ce887bef84ac7b43437d31b0de78ac180d4d,798579009,33.8813559322034,2
2020-02-17,f1c3831f157b47e4203c8c34258e12b5cb53b91cf558d4c5b7046f48404958d7,827697001,50.8305084745763,2
